PERIODO_EVALUACION,PERIODO_VENTA,TIPO_PERIODO,FECHA_EVALUACION,VENTA_CANAL,VENTA_PDV_CODIGO,VENTA_PDV_DESC,VENTA_USUARIO,TIPO_PRODUCTO,SERVICIO,TIPO_VENTA_DES,NRO_SEC,ESTADO,NRO_PEDIDO,PEDIDO_ESTADO,CANTIDAD_LINEAS,FECHA_HORA_ENTREGA,NRO_SOT,SOT_ESTADO,UGIS,FECHA_INSTALACION,DEPARTAMENTO,PROVINCIA,DISTRITO,PACK_CHIP,EQUIPO_MARCA,EQUIPO_MODELO,CARGO_FIJO,PLAN_COMERCIAL,CAMPANA_APLICADA,OPERADOR_CEDENTE,TIPO_ENTREGA,DERIVACION_CANAL,DERIVACION_PDV_CODIGO,DERIVACION_PDV_DESC,ESTADO_ACTIVACION,VALIDACION_VENTA,MOTIVO_ASIGNACION,FECHA_ACTIVACION,ORIGEN_VTA_PDV,ORIGEN_VTA_PDV_DESC,CARGO_FIJO_ACTIVACION,SOCIO_LATAM,ORIGEN_CLIENTE,TIPO_COINCIDENCIA,TIPO_PAGO_ORIGEN
202509,202509,MES ACTUAL,15/09/2025 00:00,TELEVENTAS OUTBOUND,5PTW,RECUPERA,E8415794,MOVIL,PORTABILIDAD,POSTPAGO,97640670,APROBADO,127010939,PEDIDO ENTREGADO,1,15/09/2025 20:31,,,,,LIMA,LIMA,NO ESPECIFICADO,CHIP,,,69.9,Max Ilimitado 69.90,DTO PORTABILIDAD POSTPAGO,BITEL,PRESENCIAL,CADENA,Q12T,FOOD RETAIL VENTANILLA_SN,VENTA ACTIVA,,,16/09/2025 00:00,5PTW,RECUPERA_PORT_OUT,69.9,,BASE MES ACTUAL,POR LINEA,POSTPAGO
202509,202509,MES ACTUAL,15/09/2025 00:00,TELEVENTAS OUTBOUND,5PTW,RECUPERA,E8406965,MOVIL,PORTABILIDAD,POSTPAGO,97642772,APROBADO,127015803,PEDIDO ANULADO,1,,,,,,LIMA,CAÑETE,SAN VICENTE DE CAÑETE,CHIP,,,79.9,Max Ilimitado 79.90,DTO PORTABILIDAD POSTPAGO,MOVISTAR,PRESENCIAL,CADENA,SE90,SAGA CAÑETE_SN,VENTA BRUTA,,,,,,,,BASE MES ACTUAL,POR LINEA,POSTPAGO
202509,202509,MES ACTUAL,15/09/2025 00:00,TELEVENTAS OUTBOUND,5PTW,RECUPERA,E8415749,MOVIL,PORTABILIDAD,POSTPAGO,97653890,APROBADO,127052260,PEDIDO ENTREGADO,1,16/09/2025 15:43,,,,ENTREGADO,JUNIN,HUANCAYO,HUANCAYO,CHIP,,,69.9,Max Ilimitado 69.90,DTO PORTABILIDAD POSTPAGO,MOVISTAR,PRESENCIAL,CADENA,SE16,RIPLEY JUNIN_SN,VENTA ENTREGADA,,,,,,,,BASE MESES ANTERIORES,POR LINEA,POSTPAGO
202509,202509,MES ACTUAL,15/09/2025 00:00,TELEVENTAS OUTBOUND,5PTW,RECUPERA,E8406965,MOVIL,PORTABILIDAD,POSTPAGO,97651132,APROBADO,127017518,PEDIDO ENTREGADO,1,15/09/2025 17:18,,,,,LA LIBERTAD,TRUJILLO,LA ESPERANZA,CHIP,,,79.9,Max Ilimitado 79.90,DTO PORTABILIDAD POSTPAGO,ENTEL,DELIVERY,DELIVERY,DELIVERY,DELIVERY,VENTA ACTIVA,,,16/09/2025 00:00,5PTW,RECUPERA_PORT_OUT,79.9,,BASE MES ACTUAL,POR LINEA,PREPAGO
202509,202509,MES ACTUAL,15/09/2025 00:00,TELEVENTAS OUTBOUND,5PTW,RECUPERA,E8414495,MOVIL,PORTABILIDAD,POSTPAGO,97651480,APROBADO,127018000,PEDIDO ENTREGADO,1,15/09/2025 17:14,,,,,LIMA,LIMA,CARABAYLLO,CHIP,,,69.9,Max Ilimitado 69.90,DTO PORTABILIDAD POSTPAGO,MOVISTAR,DELIVERY,DELIVERY,DELIVERY,DELIVERY,VENTA ACTIVA,,,16/09/2025 00:00,5PTW,RECUPERA_PORT_OUT,69.9,,BASE MESES ANTERIORES,POR LINEA,PREPAGO
202509,202509,MES ACTUAL,15/09/2025 00:00,TELEVENTAS OUTBOUND,5PTW,RECUPERA,E8403731,MOVIL,PORTABILIDAD,POSTPAGO,97635830,APROBADO,126997092,PEDIDO ENTREGADO,1,15/09/2025 11:59,,,,,LIMA,LIMA,LINCE,CHIP,,,69.9,Max Ilimitado 69.90,DTO PORTABILIDAD POSTPAGO,ENTEL,DELIVERY,DELIVERY,DELIVERY,DELIVERY,VENTA ACTIVA,,,16/09/2025 00:00,5PTW,RECUPERA_PORT_OUT,69.9,,BASE MESES ANTERIORES,POR DOCUMENTO,PREPAGO
202509,202509,MES ACTUAL,15/09/2025 00:00,TELEVENTAS OUTBOUND,5PTW,RECUPERA,E8412255,MOVIL,PORTABILIDAD,POSTPAGO,97633181,APROBADO,126998384,PEDIDO ENTREGADO,1,15/09/2025 18:13,,,,,PUNO,SAN ROMAN,JULIACA,CHIP,,,69.9,Max Ilimitado 69.90,DTO PORTABILIDAD POSTPAGO,MOVISTAR,PRESENCIAL,CAC,P054,CAC JULIACA REAL PLAZA,VENTA ACTIVA,,,16/09/2025 00:00,5PTW,RECUPERA_PORT_OUT,69.9,,FUERA DE BASE,FUERA DE BASE,POSTPAGO
202509,202509,MES ACTUAL,15/09/2025 00:00,TELEVENTAS OUTBOUND,5PTW,RECUPERA,E8408347,MOVIL,PORTABILIDAD,POSTPAGO,97643466,APROBADO,127007480,PEDIDO ENTREGADO,1,15/09/2025 14:11,,,,,ICA,ICA,ICA,CHIP,,,69.9,Max Ilimitado 69.90,DTO PORTABILIDAD POSTPAGO,BITEL,DELIVERY,DELIVERY,DELIVERY,DELIVERY,VENTA ACTIVA,,,16/09/2025 00:00,5PTW,RECUPERA_PORT_OUT,69.9,,FUERA DE BASE,FUERA DE BASE,PREPAGO
202509,202509,MES ACTUAL,15/09/2025 00:00,TELEVENTAS OUTBOUND,5PTW,RECUPERA,E8415553,MOVIL,PORTABILIDAD,POSTPAGO,97653500,ANULADO,,,1,,,,,,LIMA,LIMA,SANTA ANITA,CHIP,,,69.9,Max Ilimitado 69.90,DTO PORTABILIDAD POSTPAGO,ENTEL,PRESENCIAL,CAC,1413,CAC SANTA ANITA,VENTA ACTIVA,,,16/09/2025 00:00,5PTW,RECUPERA_PORT_OUT,79.9,,BASE MES ACTUAL,POR LINEA,POSTPAGO
202509,202509,MES ACTUAL,15/09/2025 00:00,TELEVENTAS OUTBOUND,5PTW,RECUPERA,E8415742,MOVIL,PORTABILIDAD,POSTPAGO,97632723,APROBADO,127007478,PEDIDO ENTREGADO,1,15/09/2025 13:45,,,,,PIURA,SECHURA,SECHURA,CHIP,,,79.9,Max Ilimitado 79.90,DTO PORTABILIDAD POSTPAGO,MOVISTAR,PRESENCIAL,ACD,R016,PERU PHONE_D.PIURA,VENTA ACTIVA,,,16/09/2025 00:00,5PTW,RECUPERA_PORT_OUT,79.9,LATAM,BASE MES ACTUAL,POR LINEA,POSTPAGO
